State,Fire Type,Area Burnt,Year
ACT,All,0.1,2020
NSW,All,43.0,2020
NT,All,5827.0,2020
QLD,All,4208.0,2020
SA,All,11.0,2020
TAS,All,16.0,2020
VIC,All,71.0,2020
WA,All,332.0,2020
ACT,Planned,0.1,2020
NSW,Planned,31.0,2020
NT,Planned,3158.0,2020
QLD,Planned,1111.0,2020
SA,Planned,4.0,2020
TAS,Planned,14.0,2020
VIC,Planned,67.0,2020
WA,Planned,255.0,2020
ACT,Unplanned,0.0,2020
NSW,Unplanned,12.0,2020
NT,Unplanned,2668.0,2020
QLD,Unplanned,3097.0,2020
SA,Unplanned,8.0,2020
TAS,Unplanned,2.0,2020
VIC,Unplanned,4.0,2020
WA,Unplanned,77.0,2020
ACT,All,82.0,2019
NSW,All,4917.0,2019
NT,All,7165.0,2019
QLD,All,5909.0,2019
SA,All,172.0,2019
TAS,All,45.0,2019
VIC,All,1434.0,2019
WA,All,1374.0,2019
ACT,Planned,0.0,2019
NSW,Planned,4.0,2019
NT,Planned,2598.0,2019
QLD,Planned,1525.0,2019
SA,Planned,1.0,2019
TAS,Planned,12.0,2019
VIC,Planned,23.0,2019
WA,Planned,1025.0,2019
ACT,Unplanned,82.0,2019
NSW,Unplanned,4912.0,2019
NT,Unplanned,4567.0,2019
QLD,Unplanned,4384.0,2019
SA,Unplanned,171.0,2019
TAS,Unplanned,33.0,2019
VIC,Unplanned,1411.0,2019
WA,Unplanned,4275.0,2019
ACT,All,2.0,2018
NSW,All,233.0,2018
NT,All,8138.0,2018
QLD,All,6745.0,2018
SA,All,5.0,2018
TAS,All,125.0,2018
VIC,All,250.0,2018
WA,All,821.0,2018
ACT,Planned,2.0,2018
NSW,Planned,3.0,2018
NT,Planned,3202.0,2018
QLD,Planned,1885.0,2018
SA,Planned,2.0,2018
TAS,Planned,14.0,2018
VIC,Planned,56.0,2018
WA,Planned,224.0,2018
ACT,Unplanned,0.2,2018
NSW,Unplanned,230.0,2018
NT,Unplanned,4936.0,2018
QLD,Unplanned,4860.0,2018
SA,Unplanned,3.0,2018
TAS,Unplanned,111.0,2018
VIC,Unplanned,194.0,2018
WA,Unplanned,597.0,2018
ACT,All,1.0,2017
NSW,All,262.0,2017
NT,All,8632.0,2017
QLD,All,5935.0,2017
SA,All,7.0,2017
TAS,All,26.0,2017
VIC,All,74.0,2017
WA,All,745.0,2017
ACT,Planned,1.0,2017
NSW,Planned,240.0,2017
NT,Planned,4987.0,2017
QLD,Planned,1514.0,2017
SA,Planned,2.0,2017
TAS,Planned,17.0,2017
VIC,Planned,36.0,2017
WA,Planned,343.0,2017
ACT,Unplanned,0.1,2017
NSW,Unplanned,22.0,2017
NT,Unplanned,3645.0,2017
QLD,Unplanned,4421.0,2017
SA,Unplanned,6.0,2017
TAS,Unplanned,9.0,2017
VIC,Unplanned,38.0,2017
WA,Unplanned,402.0,2017
ACT,All,1.0,2016
NSW,All,181.0,2016
NT,All,4956.0,2016
QLD,All,7525.0,2016
SA,All,22.0,2016
TAS,All,22.0,2016
VIC,All,50.0,2016
WA,All,1061.0,2016
ACT,Planned,1.0,2016
NSW,Planned,13.0,2016
NT,Planned,3158.0,2016
QLD,Planned,1253.0,2016
SA,Planned,8.0,2016
TAS,Planned,17.0,2016
VIC,Planned,43.0,2016
WA,Planned,859.0,2016
ACT,Unplanned,0.0,2016
NSW,Unplanned,168.0,2016
NT,Unplanned,1798.0,2016
QLD,Unplanned,6272.0,2016
SA,Unplanned,14.0,2016
TAS,Unplanned,5.0,2016
VIC,Unplanned,7.0,2016
WA,Unplanned,202.0,2016